"Hey! Get 10% OFF at %3%1%3 Use my code: %2 to get 10% off on your first purchase. Referral code must be added to the %3Apply a Promo Code%3 field on the checkout page. T&C:","Hey ! Bénéficie de 10% de réduction sur %3%1%3 Utilise mon code : %2 pour obtenir 10% de réduction sur ton premier achat. Le code de parrainage doit être ajouté dans le champ %3Appliquer un code promo%3 sur la page de paiement. CGV:"
"Referral code","Code de référence"
"Referral code used %1/5 times","Code de référence utilisé %1/5 fois"
"Enroll Now","S'inscrire maintenant"
"Earned commission","Commission gagnée"
"Order","Commandez"
"Date","Date"
"Order by","Commander par"
"Discount code","Code de réduction"
"Commission","Commission"
"Use before","Utilisé avant"
"Is used","Est utilisé"
"Available after order completes","Disponible après la fin de la commande"
"Yes","Oui"
"No","Non"
"Refer & Earn","Parrainez et gagnez "
"Give %1, get %2!","Donne %1, gagne %2!"
"Give friends %1 off their first order and you'll get %2 of their purchase in store credit code.","Offre à tes amis %1 de réduction sur leur première commande et tu obtiendras un code de crédit de %2 de leur achat en magasin."
"Email will be sent from:","Le courriel sera envoyé par"
"Email Addresses","Adresses e-mail"
"Email addresses comma separated.","Les adresses e-mail sont séparées par des virgules."
"Share referral coupon","Partager le coupon de parrainage"
"Share","Partager"
"Thank you for your order %1!","Merci pour votre commande %1!"
"Email will be sent from: %1","Le courriel sera envoyé par : %1"
"Send Email","Envoyer un courriel"
"Your Referral Store Credit Code Has Arrived","Le code de crédit de ton magasin de référence est arrivé"
"Hey!","Salut !"
"Someone has made a purchase using your referral code.","Quelqu'un a effectué un achat en utilisant ton code de parrainage."
"Your Store Credit Code:","Code de crédit de ton magasin :"
"Your Store Credit Code Amount:","Montant du code de crédit de ton magasin :"
"Your earned store credit code will be available under the “My Account-> My Referral Program” section.","Le code de crédit de magasin que tu as gagné sera disponible dans la section “Mon compte-> Mon programme de parrainage”."
"The earned store credit code must be used on the checkout page, on the “Apply a Promo Code” field using the coupon code. Store credit code can be combined with other discounts.","Le code de crédit de magasin gagné doit être utilisé sur la page de paiement, dans le champ "Appliquer un code promo" en utilisant le code du coupon. Le code de crédit magasin peut être combiné avec d'autres réductions."
"Earned store credit code must be used within one year of the date that you received it.","Le code de crédit de magasin gagné doit être utilisé dans l'année qui suit la date à laquelle tu l'as reçu."
"Terms & Conditions","Conditions générales d'utilisation"
"Hey! Get 10% OFF at <a style=""color: #6fc500;"" href=""%baseUrl"">Tvape</a>, use my referral code <b>%templateVar</b> to get %refAmt off on your first purchase. Referral code must be added to the “Apply a Promo Code” field on the checkout page.","Salut ! Bénéficie de 10% de réduction sur <a style=""color: #6fc500;"" href=""%baseUrl"">Tvape</a>, utilise mon code de parrainage <b>%templateVar</b> pour obtenir %refAmt de réduction sur ton premier achat. Le code de parrainage doit être ajouté dans le champ “Appliquer un code promo” sur la page de paiement."
"Referral Code:","Code de parrainage :"
"%customerName invited you to get %refAmt off on Tvape","%customerName t'a invité à obtenir %refAmt de réduction sur Tvape"
"Refer More, Earn More!","Recommande plus, gagne plus !"
"Referral enrollment program","Programme d'inscription par référence"
"Give %refAmt, Get %comAmt","Donne %refAmt, gagne %comAmt"
"Refer a Friend and earn %comAmt<br>of their purchase","Recommande un ami et gagne %comAmt<br>de son achat"
"Share this Coupon Code","Partage ce code de réduction"
"Free Shipping","Livraison gratuite"
"30 day return","Retour de 30 jours"
"Hassle-Free Warranty","Garantie sans tracas"
"Please add us to your email contacts to keep receiving new updates from us.","Ajoute-nous à tes contacts e-mail pour continuer à recevoir de nouvelles mises à jour de notre part."
